condition,cache_ratio,on_demand_mean_ms,prefetch_mean_ms,prefetch_over_on_demand,on_demand_p95_ms,prefetch_p95_ms,delta_ms,condition_label,events,f1,f1_pct,avg_cache_hit_rate
shifted_homogeneous,0.03,669.51528,658.995101,0.984287,946.889232,871.094491,-10.520178999999985,"Shifted
homogeneous",75655,0.007111228603529179,0.7111228603529178,0.8446001953125002
shifted_homogeneous,0.1,600.570859,602.834273,1.003769,723.208849,713.95179,2.2634140000000116,"Shifted
homogeneous",3770,0.0007957559681697613,0.07957559681697612,0.9482591666666664
shifted_homogeneous,0.4,586.011186,601.804781,1.026951,835.754648,836.576949,15.793595000000096,"Shifted
homogeneous",75655,0.007111228603529179,0.7111228603529178,0.9658384609375004
shifted_mixed,0.03,721.023363,737.824939,1.023302,885.45775,775.635263,16.801575999999955,"Shifted
mixed",81920,0.003466796875,0.3466796875,0.8767598124999998
shifted_mixed,0.1,686.868124,701.257007,1.020949,740.541179,718.627302,14.388883000000078,"Shifted
mixed",81920,0.00340576171875,0.340576171875,0.9490356015625003
shifted_mixed,0.4,619.590837,649.044747,1.047538,672.459,688.224582,29.453910000000064,"Shifted
mixed",81920,0.003466796875,0.3466796875,0.9614563749999998
stable_homogeneous,0.03,533.33426,478.916985,0.897968,802.725728,646.032217,-54.41727499999996,"Stable
homogeneous",65965,0.006533767907223528,0.6533767907223529,0.7886569921875001
stable_homogeneous,0.1,583.42516,583.915019,1.00084,691.553415,692.878773,0.489859000000024,"Stable
homogeneous",3770,0.0007957559681697613,0.07957559681697612,0.9482591666666664
stable_homogeneous,0.4,411.298509,394.033982,0.958024,511.561839,505.017045,-17.264527000000044,"Stable
homogeneous",65965,0.006533767907223528,0.6533767907223529,0.9655226328125002
stable_mixed,0.03,739.42351,739.302808,0.999837,925.221832,784.372976,-0.12070199999993747,"Stable
mixed",81850,0.0041905925473427,0.41905925473426997,0.8718587812500005
stable_mixed,0.1,689.360171,718.843747,1.042769,740.046311,740.03929,29.48357599999997,"Stable
mixed",81850,0.004105070250458155,0.4105070250458155,0.9491798281249999
stable_mixed,0.4,618.588213,630.714114,1.019603,671.024955,666.093183,12.125900999999999,"Stable
mixed",81850,0.0041905925473427,0.41905925473426997,0.9614135234374996
