condition,cache_ratio,on_demand_mean_ms,prefetch_mean_ms,prefetch_over_on_demand,on_demand_p95_ms,prefetch_p95_ms,avg_cache_hit_rate,useful_prefetch_precision,expert_set_f1,high_hit_low_utility_failure,condition_label,domain_family,stream_state,cache_ratio_label,cache_hit_pct,latency_ratio,delta_ms
shifted_homogeneous,0.03,897.8713317628717,923.669687610527,1.028732798269662,1139.7887737490234,1107.7836956363171,0.8548162890625001,0.0071751820030169,0.0071751820030169,1,Shifted homogeneous,Homogeneous,Shifted,0.03,85.48162890625001,1.028732798269662,25.79835584765533
shifted_homogeneous,0.1,873.2440599560505,908.232750778552,1.0400674821930798,1076.898362534121,1091.3763907272369,0.9213324453125002,0.0071751820030169,0.0071751820030169,1,Shifted homogeneous,Homogeneous,Shifted,0.10,92.13324453125003,1.0400674821930798,34.98869082250155
shifted_homogeneous,0.4,800.9212136676069,820.6061089949799,1.0245778173826,1031.2514574732631,1036.9620401412249,0.9657049375,0.0071751820030169,0.0071751820030169,1,Shifted homogeneous,Homogeneous,Shifted,0.40,96.57049375,1.0245778173826,19.684895327372942
shifted_mixed,0.03,1007.9007962340256,1030.4629279999062,1.022385270306545,1240.0078664999455,1131.4654270652682,0.8743082265624997,0.00499267578125,0.00499267578125,1,Shifted mixed,Mixed,Shifted,0.03,87.43082265624997,1.022385270306545,22.562131765880622
shifted_mixed,0.1,948.2448926646612,1007.6920991850784,1.062691828851685,1045.6773933488876,1087.8654046915472,0.9498697890624994,0.00499267578125,0.00499267578125,1,Shifted mixed,Mixed,Shifted,0.10,94.98697890624994,1.062691828851685,59.44720652041724
shifted_mixed,0.4,868.474822906137,952.2500657694764,1.0964624887835046,1025.5245259962976,1081.245660316199,0.9709065390625004,0.00499267578125,0.00499267578125,1,Shifted mixed,Mixed,Shifted,0.40,97.09065390625004,1.0964624887835046,83.77524286333937
stable_homogeneous,0.03,920.1343347376678,904.5385611680103,0.9830505470985345,1259.9611865822226,1107.883358420804,0.8465904453124999,0.0071442959779762,0.0071442959779762,0,Stable homogeneous,Homogeneous,Stable,0.03,84.65904453124999,0.9830505470985345,-15.595773569657467
stable_homogeneous,0.1,862.5857857769006,888.7962891822099,1.030385967213339,1058.2762125879526,1084.374458482489,0.9132591093750004,0.0071442959779762,0.0071442959779762,1,Stable homogeneous,Homogeneous,Stable,0.10,91.32591093750004,1.030385967213339,26.210503405309282
stable_homogeneous,0.4,815.7954673661152,841.5383770770859,1.0315555929650904,1034.7898953128606,1063.9090187847614,0.9447066328125002,0.0071442959779762,0.0071442959779762,1,Stable homogeneous,Homogeneous,Stable,0.40,94.47066328125003,1.0315555929650904,25.742909710970707
stable_mixed,0.03,1029.626624804223,1047.1341800512164,1.0170037903306186,1214.965820359066,1131.496053794399,0.8762838281250003,0.0041050702504581,0.0041050702504581,1,Stable mixed,Mixed,Stable,0.03,87.62838281250002,1.0170037903306186,17.507555246993434
stable_mixed,0.1,975.3969300436438,983.4920700377552,1.0082993289652338,1052.8590768575668,1026.797811780125,0.9491289374999996,0.0041050702504581,0.0041050702504581,1,Stable mixed,Mixed,Stable,0.10,94.91289374999997,1.0082993289652338,8.095139994111378
stable_mixed,0.4,900.5421634647064,957.5065265016748,1.0632556312719508,968.4484382160008,1002.8188622090966,0.9625083749999996,0.0041050702504581,0.0041050702504581,1,Stable mixed,Mixed,Stable,0.40,96.25083749999996,1.0632556312719508,56.96436303696839
